Initial packet size,Initial TTL,Window size,DF flag,port,Max Segment Size,Window Scalling Value,sackOK,Target
370,651,249,2816,0,49207,0,0,0,windows
371,54,128,64769,1,49207,0,0,0,windows
372,66,55,15525,0,49214,1410,12,1,windows
373,54,128,2,1,49214,0,0,0,windows
374,66,250,15525,0,49216,1410,12,1,windows
375,54,128,2,1,49216,0,0,0,windows
376,411,128,64769,1,49207,0,0,0,windows
377,275,128,2,1,49214,0,0,0,windows
378,275,128,2,1,49216,0,0,0,windows
379,651,56,2816,0,49208,0,0,0,windows
380,66,249,15525,0,49215,1410,12,1,windows
381,54,128,2,1,49215,0,0,0,windows
382,275,128,2,1,49215,0,0,0,windows
383,411,128,64769,1,49208,0,0,0,windows
384,66,55,15525,0,49213,1410,12,1,windows
385,54,128,2,1,49213,0,0,0,windows
386,275,128,2,1,49213,0,0,0,windows
387,54,250,2816,0,49216,0,0,0,windows
388,1464,250,2816,0,49216,0,0,0,windows
389,1330,250,2816,0,49216,0,0,0,windows
390,54,128,64257,1,49216,0,0,0,windows
391,54,55,2816,0,49214,0,0,0,windows
392,625,250,2816,0,49216,0,0,0,windows
393,1464,55,2816,0,49214,0,0,0,windows
394,1330,55,2816,0,49214,0,0,0,windows
395,54,128,64257,1,49214,0,0,0,windows
396,625,55,2816,0,49214,0,0,0,windows
397,411,128,64257,1,49207,0,0,0,windows
398,54,249,2816,0,49215,0,0,0,windows
399,1464,249,2816,0,49215,0,0,0,windows
400,1330,249,2816,0,49215,0,0,0,windows
401,54,128,64257,1,49215,0,0,0,windows
402,625,249,2816,0,49215,0,0,0,windows
403,54,128,64257,1,49208,0,0,0,windows
404,411,128,64257,1,49208,0,0,0,windows
405,220,128,2,1,49216,0,0,0,windows
406,54,55,2816,0,49213,0,0,0,windows
407,1464,55,2816,0,49213,0,0,0,windows
408,1330,55,2816,0,49213,0,0,0,windows
409,54,128,64257,1,49213,0,0,0,windows
410,625,55,2816,0,49213,0,0,0,windows
411,411,128,2,1,49207,0,0,0,windows
412,220,128,2,1,49214,0,0,0,windows
413,145,250,2816,0,49216,0,0,0,windows
414,54,128,65281,1,49216,0,0,0,windows
415,220,128,2,1,49215,0,0,0,windows
416,145,55,2816,0,49214,0,0,0,windows
417,54,128,65281,1,49214,0,0,0,windows
418,411,128,65281,1,49216,0,0,0,windows
419,220,128,2,1,49213,0,0,0,windows
420,651,250,2816,0,49216,0,0,0,windows
421,54,128,64769,1,49216,0,0,0,windows
422,145,249,2816,0,49215,0,0,0,windows
423,54,128,65281,1,49215,0,0,0,windows
424,145,55,2816,0,49213,0,0,0,windows
425,54,128,65281,1,49213,0,0,0,windows
426,66,128,32,1,49217,1460,8,1,windows
427,66,249,15525,1,49217,1410,8,1,windows
428,54,128,2,1,49217,0,0,0,windows
429,238,128,2,1,49217,0,0,0,windows
430,54,249,42240,1,49217,0,0,0,windows
431,1464,249,42496,1,49217,0,0,0,windows
432,526,249,42496,1,49217,0,0,0,windows
433,54,128,65025,1,49217,0,0,0,windows
434,220,128,65025,1,49217,0,0,0,windows
435,145,249,42496,1,49217,0,0,0,windows
436,379,128,65025,1,49217,0,0,0,windows
437,352,249,42496,1,49217,0,0,0,windows
438,54,128,64513,1,49217,0,0,0,windows
439,123,249,42496,1,49217,0,0,0,windows
440,408,128,52484,1,49206,0,0,0,windows
441,408,128,2,1,49205,0,0,0,windows
442,66,128,32,1,49218,1460,8,1,windows
443,66,128,32,1,49219,1460,8,1,windows
444,1132,55,42496,1,49206,0,0,0,windows
445,297,250,42496,1,49205,0,0,0,windows
446,54,128,65281,1,49205,0,0,0,windows
447,66,54,15525,1,49218,1410,8,1,windows
448,54,128,2,1,49218,0,0,0,windows
449,66,55,15525,1,49219,1410,8,1,windows
450,54,128,2,1,49219,0,0,0,windows
451,265,128,2,1,49218,0,0,0,windows
452,265,128,2,1,49219,0,0,0,windows
453,54,55,42240,1,49219,0,0,0,windows
454,54,54,42240,1,49218,0,0,0,windows
455,1464,54,42496,1,49218,0,0,0,windows
456,383,54,42496,1,49218,0,0,0,windows
457,54,128,65025,1,49218,0,0,0,windows
458,1464,55,42496,1,49219,0,0,0,windows
459,384,55,42496,1,49219,0,0,0,windows
460,54,128,65025,1,49219,0,0,0,windows
461,180,128,65025,1,49218,0,0,0,windows
462,405,128,53508,1,49206,0,0,0,windows
463,180,128,65025,1,49219,0,0,0,windows
464,105,54,42496,1,49218,0,0,0,windows
465,105,55,42496,1,49219,0,0,0,windows
466,1206,55,42496,1,49206,0,0,0,windows
467,406,128,65025,1,49218,0,0,0,windows
468,1147,54,42496,1,49218,0,0,0,windows
469,873,128,2,1,49203,0,0,0,windows
470,54,54,41728,1,49203,0,0,0,windows
471,638,54,42496,1,49203,0,0,0,windows
472,66,128,32,1,49220,1460,8,1,windows
473,66,128,32,1,49221,1460,8,1,windows
474,66,54,15525,1,49220,1410,8,1,windows
475,54,128,2,1,49220,0,0,0,windows
476,66,55,15525,1,49221,1410,8,1,windows
477,54,128,2,1,49221,0,0,0,windows
478,235,128,2,1,49220,0,0,0,windows
479,235,128,2,1,49221,0,0,0,windows
480,54,55,42240,1,49221,0,0,0,windows
481,54,54,42240,1,49220,0,0,0,windows
482,1464,54,42496,1,49220,0,0,0,windows
483,301,54,42496,1,49220,0,0,0,windows
484,54,128,65281,1,49220,0,0,0,windows
485,1464,55,42496,1,49221,0,0,0,windows
486,300,55,42496,1,49221,0,0,0,windows
487,54,128,65281,1,49221,0,0,0,windows
488,1176,128,64769,1,49203,0,0,0,windows
489,180,128,65281,1,49220,0,0,0,windows
490,180,128,65281,1,49221,0,0,0,windows
491,105,55,42496,1,49221,0,0,0,windows
492,105,54,42496,1,49220,0,0,0,windows
493,663,54,42496,1,49203,0,0,0,windows
494,54,128,64257,1,49203,0,0,0,windows
495,1464,128,65281,1,49221,0,0,0,windows
496,708,128,65281,1,49221,0,0,0,windows
497,54,55,42496,1,49221,0,0,0,windows
498,466,55,42496,1,49221,0,0,0,windows
499,54,128,64769,1,49221,0,0,0,windows
500,173,55,42496,1,49221,0,0,0,windows
501,54,128,64513,1,49221,0,0,0,windows
502,66,128,32,1,49222,1460,8,1,windows
503,66,128,32,1,49223,1460,8,1,windows
504,66,118,65535,1,49223,1440,8,1,windows
505,54,128,1282,1,49223,0,0,0,windows
506,66,117,65535,1,49222,1440,8,1,windows
507,54,128,1282,1,49222,0,0,0,windows
508,233,128,1282,1,49222,0,0,0,windows
509,233,128,1282,1,49223,0,0,0,windows
510,54,119,1032,1,49223,0,0,0,windows
511,54,118,1032,1,49222,0,0,0,windows
512,1514,119,1032,1,49223,0,0,0,windows
513,1116,119,1032,1,49223,0,0,0,windows
514,54,128,258,1,49223,0,0,0,windows
515,1514,118,1032,1,49222,0,0,0,windows
516,1116,118,1032,1,49222,0,0,0,windows
517,54,128,258,1,49222,0,0,0,windows
518,268,128,258,1,49223,0,0,0,windows
519,268,128,258,1,49222,0,0,0,windows
520,54,119,776,1,49223,0,0,0,windows
521,161,119,776,1,49223,0,0,0,windows
522,54,128,2,1,49223,0,0,0,windows
523,54,118,776,1,49222,0,0,0,windows
524,161,118,776,1,49222,0,0,0,windows
525,54,128,2,1,49222,0,0,0,windows
526,347,128,2,1,49222,0,0,0,windows
527,54,118,520,1,49222,0,0,0,windows
528,898,128,64769,1,49204,0,0,0,windows
529,699,118,520,1,49222,0,0,0,windows
530,1289,55,42496,1,49204,0,0,0,windows
531,379,128,64513,1,49217,0,0,0,windows
532,66,128,32,1,49224,1460,8,1,windows
533,66,128,32,1,49225,1460,8,1,windows
534,66,128,32,1,49226,1460,8,1,windows
535,54,128,64257,1,49217,0,0,0,windows
536,379,128,64257,1,49217,0,0,0,windows
537,66,249,15525,1,49224,1410,8,1,windows
538,54,128,2,1,49224,0,0,0,windows
539,270,128,2,1,49224,0,0,0,windows
540,1464,128,64513,1,49221,0,0,0,windows
541,222,128,64513,1,49221,0,0,0,windows
542,54,128,65281,1,49217,0,0,0,windows
543,54,249,42240,1,49224,0,0,0,windows
544,1464,249,42496,1,49224,0,0,0,windows
545,526,249,42496,1,49224,0,0,0,windows
546,54,128,65025,1,49224,0,0,0,windows
547,66,57,61690,1,49225,1460,7,1,windows
548,54,128,258,1,49225,0,0,0,windows
549,237,128,258,1,49225,0,0,0,windows
550,618,55,42496,1,49221,0,0,0,windows
551,54,128,64001,1,49221,0,0,0,windows
552,66,57,61690,1,49226,1460,7,1,windows
553,54,128,258,1,49226,0,0,0,windows
554,237,128,258,1,49226,0,0,0,windows
555,220,128,65025,1,49224,0,0,0,windows
556,145,249,42496,1,49224,0,0,0,windows
557,54,57,62721,1,49225,0,0,0,windows
558,1514,57,62721,1,49225,0,0,0,windows
559,1230,57,62721,1,49225,0,0,0,windows
560,54,128,64513,1,49225,0,0,0,windows
561,54,57,62721,1,49226,0,0,0,windows
562,1514,57,62721,1,49226,0,0,0,windows
563,1230,57,62721,1,49226,0,0,0,windows
564,54,128,64513,1,49226,0,0,0,windows
565,205,57,62721,1,49225,0,0,0,windows
566,54,128,2,1,49225,0,0,0,windows
567,523,128,64769,1,49208,0,0,0,windows
568,205,57,62721,1,49226,0,0,0,windows
569,54,128,2,1,49226,0,0,0,windows
